ocr;barrera;hora;segundo;matricula
SUCCESS;CLOSED;0;325;5988DZL
SUCCESS;CLOSED;0;587;6179JHL
SUCCESS;CLOSED;0;905;3891HPS
SUCCESS;OPEN;0;1362;4714JDS
SUCCESS;CLOSED;0;1849;0070HYD
SUCCESS;OPEN;0;2176;8861GTN
SUCCESS;OPEN;0;2231;1122JRL
SUCCESS;OPEN;0;2457;2541JJJ
SUCCESS;CLOSED;0;2795;8006HRR
SUCCESS;OPEN;0;3205;5768JGN
SUCCESS;OPEN;0;3446;4411BVZ
SUCCESS;CLOSED;1;244;4459HXL
SUCCESS;OPEN;1;438;6993BWH
FAIL;OPEN;1;2366;-
SUCCESS;OPEN;1;2406;4928JMY
SUCCESS;CLOSED;1;3324;6712DKS
REPEAT;CLOSED;1;3362;6712DKS
SUCCESS;OPEN;1;3438;0005DPD
SUCCESS;OPEN;1;3554;8489FHM
FAIL;OPEN;2;180;-
FAIL;OPEN;2;203;-
FAIL;OPEN;2;220;-
SUCCESS;OPEN;2;271;4623JPR
SUCCESS;OPEN;2;294;9322HDL
FAIL;OPEN;2;332;-
SUCCESS;OPEN;2;437;6769JKL
FAIL;OPEN;2;800;-
FAIL;OPEN;2;1081;-
FAIL;OPEN;2;1129;-
FAIL;OPEN;2;2308;-
SUCCESS;OPEN;2;2554;2962HYF
FAIL;OPEN;2;3428;-
FAIL;OPEN;2;3440;-
SUCCESS;OPEN;2;3449;7869HCC
SUCCESS;OPEN;2;3468;3485HSH
FAIL;OPEN;2;3480;-
FAIL;OPEN;2;3595;-
FAIL;OPEN;3;5;-
FAIL;OPEN;3;52;-
FAIL;OPEN;3;67;-
FAIL;OPEN;3;78;-
FAIL;OPEN;3;193;-
FAIL;OPEN;3;237;-
FAIL;OPEN;3;279;-
FAIL;OPEN;3;910;-
FAIL;OPEN;3;962;-
SUCCESS;OPEN;3;1083;5648JHB
FAIL;OPEN;3;1145;-
FAIL;OPEN;3;1167;-
FAIL;OPEN;3;1233;-
SUCCESS;OPEN;3;1352;4362HHD
FAIL;OPEN;3;1480;-
FAIL;OPEN;3;1532;-
FAIL;OPEN;3;1648;-
SUCCESS;OPEN;3;1830;1039FVP
SUCCESS;OPEN;3;2098;0310DHJ
FAIL;OPEN;3;2372;-
FAIL;OPEN;3;2410;-
FAIL;OPEN;3;2421;-
SUCCESS;OPEN;3;2441;6729DSM
FAIL;OPEN;3;2560;-
FAIL;OPEN;3;2578;-
SUCCESS;OPEN;3;2763;0086JHK
FAIL;OPEN;3;2814;-
FAIL;OPEN;3;2920;-
FAIL;OPEN;3;3425;-
FAIL;OPEN;3;3456;-
MISMATCH;OPEN;4;81;E1924TK
SUCCESS;OPEN;4;101;7017HHM
FAIL;OPEN;4;188;-
SUCCESS;OPEN;4;291;4941GTT
SUCCESS;OPEN;4;421;6962JMR
SUCCESS;OPEN;4;471;4146FGB
SUCCESS;OPEN;4;506;5868JCN
SUCCESS;OPEN;4;602;5369BXH
SUCCESS;OPEN;4;653;4172BXF
SUCCESS;OPEN;4;672;3300CCN
SUCCESS;OPEN;4;737;7743HDR
FAIL;OPEN;4;896;-
FAIL;OPEN;4;910;-
FAIL;OPEN;4;930;-
FAIL;OPEN;4;1010;-
SUCCESS;OPEN;4;1051;5782HKJ
SUCCESS;OPEN;4;1061;5134JRK
SUCCESS;OPEN;4;1130;6424JSB
FAIL;OPEN;4;1416;-
FAIL;OPEN;4;1440;-
SUCCESS;OPEN;4;1520;9315JSN
FAIL;OPEN;4;1688;-
FAIL;OPEN;4;1863;-
SUCCESS;OPEN;4;1974;9189HMV
FAIL;OPEN;4;2044;-
SUCCESS;OPEN;4;2134;0710DVP
FAIL;OPEN;4;2225;-
SUCCESS;OPEN;4;2292;8629FCM
FAIL;OPEN;4;2320;-
SUCCESS;OPEN;4;2358;1717JLK
SUCCESS;OPEN;4;2373;0713DXS
SUCCESS;OPEN;4;2385;9418GDW
REPEAT;OPEN;4;2406;9418GDW
REPEAT;OPEN;4;2426;9418GDW
SUCCESS;OPEN;4;2448;7067JMK
SUCCESS;OPEN;4;2462;7011GSP
FAIL;OPEN;4;2493;-
SUCCESS;OPEN;4;2532;1644JJJ
SUCCESS;OPEN;4;2616;5309CGJ
SUCCESS;OPEN;4;3118;2033CFH
SUCCESS;OPEN;4;3361;6183HWV
SUCCESS;OPEN;4;3371;6220DDL
FAIL;OPEN;4;3565;-
SUCCESS;OPEN;5;104;1983FLB
SUCCESS;OPEN;5;232;2227JDD
SUCCESS;OPEN;5;297;8698CLW
FAIL;OPEN;5;310;-
SUCCESS;OPEN;5;340;0694EGK
SUCCESS;OPEN;5;374;1071GBF
SUCCESS;OPEN;5;416;6253JBM
FAIL;OPEN;5;724;-
FAIL;OPEN;5;930;-
FAIL;OPEN;5;996;-
SUCCESS;OPEN;5;1004;9150HFW
SUCCESS;OPEN;5;1052;7396GGS
SUCCESS;OPEN;5;1067;2409CZY
SUCCESS;OPEN;5;1078;0135JFV
FAIL;OPEN;5;1138;-
FAIL;OPEN;5;1205;-
SUCCESS;OPEN;5;1216;9607FWR
SUCCESS;OPEN;5;1235;5134JRK
SUCCESS;OPEN;5;1268;5214DYL
FAIL;OPEN;5;1318;-
SUCCESS;OPEN;5;1471;6521HNW
FAIL;OPEN;5;1484;-
SUCCESS;OPEN;5;1530;4641JCK
SUCCESS;OPEN;5;1580;5210JJX
FAIL;OPEN;5;2003;-
SUCCESS;PARKING_CARS;5;2080;9707HLB
SUCCESS;OPEN;5;2140;8959HZX
FAIL;OPEN;5;2333;-
SUCCESS;OPEN;5;2348;3189HPH
FAIL;OPEN;5;2360;-
SUCCESS;OPEN;5;2559;9150HFW
FAIL;OPEN;5;2922;-
SUCCESS;PARKING_CARS;5;3102;7591GZY
SUCCESS;PARKING_CARS;5;3139;0198DLB
FAIL;OPEN;5;3160;-
SUCCESS;PARKING_CARS;5;3199;6754FVX
SUCCESS;OPEN;5;3229;1709CVN
FAIL;OPEN;5;3250;-
SUCCESS;OPEN;5;3296;6847JLH
SUCCESS;OPEN;5;3348;5275GJZ
FAIL;OPEN;5;3495;-
SUCCESS;OPEN;6;17;6173HJD
SUCCESS;OPEN;6;49;6467HNC
FAIL;OPEN;6;185;-
SUCCESS;OPEN;6;188;6524FMX
FAIL;OPEN;6;201;-
SUCCESS;OPEN;6;464;0010JNG
SUCCESS;OPEN;6;695;5631HVL
FAIL;OPEN;6;1010;-
FAIL;OPEN;6;1180;-
SUCCESS;OPEN;6;1268;8093HYM
MISMATCH;OPEN;6;1319;AV4497A
MISMATCH;OPEN;6;1368;2215FLN
FAIL;OPEN;6;1424;-
SUCCESS;CLOSED;6;1551;7784JJG
FAIL;CLOSED;6;1596;-
SUCCESS;CLOSED;6;1863;2311JKC
SUCCESS;CLOSED;6;2137;7417FFW
SUCCESS;PARKING_CARS;6;2219;7867DKF
SUCCESS;CLOSED;6;2247;8374JLS
SUCCESS;OPEN;6;2277;7819HYC
SUCCESS;OPEN;6;2286;0163FBW
SUCCESS;CLOSED;6;2460;5581FCP
SUCCESS;OPEN;6;2503;5714CZD
SUCCESS;CLOSED;6;2622;8897HVL
REPEAT;CLOSED;6;2658;2364BCM
MISMATCH;CLOSED;6;3052;1779JLJ
SUCCESS;CLOSED;6;3226;4834JKV
SUCCESS;OPEN;6;3283;8093HYM
SUCCESS;CLOSED;6;3544;5406JNC
SUCCESS;CLOSED;7;2;3085DRF
SUCCESS;CLOSED;7;274;6490JKM
FAIL;CLOSED;7;430;-
SUCCESS;CLOSED;7;574;3431HZM
SUCCESS;CLOSED;7;635;9668GGV
SUCCESS;PARKING_CARS;7;902;2598JSM
FAIL;CLOSED;7;1278;-
FAIL;OPEN;7;1329;-
SUCCESS;CLOSED;7;1755;5971HTN
SUCCESS;CLOSED;7;2131;CR6031X
SUCCESS;CLOSED;7;2312;6313CZR
FAIL;CLOSED;7;2658;-
FAIL;CLOSED;7;3056;-
SUCCESS;CLOSED;7;3553;1499HTH
SUCCESS;PARKING_CARS;8;113;2777CVC
SUCCESS;CLOSED;8;191;6769JKL
SUCCESS;CLOSED;8;230;1596JGL
SUCCESS;OPEN;8;247;0133HCJ
FAIL;OPEN;8;272;-
SUCCESS;OPEN;8;305;8349GLD
SUCCESS;CLOSED;8;449;6644GGW
SUCCESS;CLOSED;8;1240;4006HJG
SUCCESS;CLOSED;8;1308;4488GJK
SUCCESS;OPEN;8;1345;4758HXB
MISMATCH;OPEN;8;1359;A9082GY
SUCCESS;CLOSED;8;1461;3322CVY
SUCCESS;CLOSED;8;1642;9908GZK
SUCCESS;PARKING_CARS;8;1686;2342BXZ
SUCCESS;PARKING_CARS;8;1729;0577HKL
SUCCESS;CLOSED;8;1892;6193GJF
SUCCESS;OPEN;8;1935;6274JSC
SUCCESS;CLOSED;8;2283;1556JBY
SUCCESS;CLOSED;8;2498;9557HXC
SUCCESS;CLOSED;8;2530;2446JMF
SUCCESS;CLOSED;8;2924;6675JGY
SUCCESS;OPEN;8;2953;8795GLF
SUCCESS;CLOSED;8;2991;8374JLS
SUCCESS;PARKING_CARS;8;3157;2039HNK
SUCCESS;CLOSED;9;76;9511HGS
SUCCESS;OPEN;9;100;6462CZY
SUCCESS;OPEN;9;130;3757FSD
SUCCESS;OPEN;9;144;9843BMT
SUCCESS;CLOSED;9;225;6606DDJ
SUCCESS;OPEN;9;259;1043HMH
MISMATCH;OPEN;9;274;O0187AD
SUCCESS;CLOSED;9;863;4488GJK
REPEAT;CLOSED;9;863;4488GJK
SUCCESS;CLOSED;9;1547;9460GDJ
SUCCESS;OPEN;9;1602;8349GTJ
SUCCESS;CLOSED;9;1994;4630BGP
SUCCESS;PARKING_CARS;9;2029;2743JDS
SUCCESS;PARKING_CARS;9;2087;0153JRC
SUCCESS;CLOSED;9;2106;6397DMW
SUCCESS;CLOSED;9;2388;7158HLV
EMPTY;CLOSED;9;2503;1111YAJ
SUCCESS;CLOSED;9;2511;0244DPX
SUCCESS;CLOSED;9;2573;6619CXN
SUCCESS;OPEN;9;2609;0760JTF
SUCCESS;CLOSED;9;2679;1730CLW
SUCCESS;CLOSED;9;2780;0822GSF
SUCCESS;CLOSED;9;2952;7842BPN
SUCCESS;CLOSED;9;3185;4327HTL
SUCCESS;CLOSED;9;3475;4824CLF
SUCCESS;CLOSED;10;787;2143FBH
SUCCESS;PARKING_CARS;10;878;0215JJK
REPEAT;PARKING_CARS;10;941;0215JJK
SUCCESS;CLOSED;10;1276;4048DRL
SUCCESS;PARKING_CARS;10;1403;7003HDN
SUCCESS;CLOSED;10;1653;6603HNX
SUCCESS;CLOSED;10;1695;8349GTJ
SUCCESS;CLOSED;10;1846;9557HXC
SUCCESS;PARKING_CARS;10;1878;6572GND
SUCCESS;CLOSED;10;3239;2739GXK
SUCCESS;CLOSED;10;3520;8888CJX
SUCCESS;PARKING_CARS;11;294;7673DCR
SUCCESS;CLOSED;11;412;6070JSH
SUCCESS;CLOSED;11;602;1544GZW
SUCCESS;CLOSED;11;696;6969FYK
SUCCESS;CLOSED;11;794;6708HVV
SUCCESS;CLOSED;11;1488;4202HSF
SUCCESS;CLOSED;11;1607;7179DBV
REPEAT;CLOSED;11;1629;7179DBV
REPEAT;CLOSED;11;1655;7179DBV
SUCCESS;CLOSED;11;2210;1245DTP
SUCCESS;CLOSED;11;2367;1651JSH
SUCCESS;CLOSED;11;2430;4327HTL
SUCCESS;CLOSED;11;2787;3466JJB
FAKE;CLOSED;11;2813;3804ALC
SUCCESS;CLOSED;11;2849;3871BSF
SUCCESS;CLOSED;11;3518;7886GRM
SUCCESS;CLOSED;11;3569;4615HNG
SUCCESS;CLOSED;12;681;5998HVN
SUCCESS;CLOSED;12;998;7825DBM
FAIL;CLOSED;12;1118;-
SUCCESS;CLOSED;12;2416;7079JLJ
SUCCESS;CLOSED;12;2642;6631JBY
SUCCESS;CLOSED;13;85;2508BWY
FAKE;CLOSED;13;88;R9941BBG
FAKE;CLOSED;13;108;2508BWY
FAKE;CLOSED;13;114;9941BBG
SUCCESS;CLOSED;13;882;1651JSH
SUCCESS;OPEN;13;934;M2123ZT
SUCCESS;CLOSED;13;2026;8289DBJ
FAKE;CLOSED;13;2031;TARA8035
FAKE;CLOSED;13;2034;A1150O
FAKE;CLOSED;13;2038;9500LEC
SUCCESS;CLOSED;13;2659;6969FYK
SUCCESS;CLOSED;13;3051;5091JFR
SUCCESS;CLOSED;14;1051;1165JDX
SUCCESS;CLOSED;14;1484;7830JPC
SUCCESS;CLOSED;14;3377;5853CCN
SUCCESS;CLOSED;15;101;9908GZK
SUCCESS;OPEN;15;123;2671JCW
SUCCESS;CLOSED;15;483;6452HXZ
SUCCESS;CLOSED;15;1358;2311JKC
SUCCESS;CLOSED;15;1967;3698DMT
SUCCESS;CLOSED;15;2036;2039HNK
SUCCESS;CLOSED;15;2141;2446JMF
SUCCESS;CLOSED;15;2235;8888CJX
SUCCESS;OPEN;15;2265;6769JKL
SUCCESS;OPEN;15;2275;1556JBY
SUCCESS;CLOSED;15;2418;1923JGR
SUCCESS;CLOSED;15;2831;8349GLD
SUCCESS;CLOSED;15;3341;7830JPC
SUCCESS;CLOSED;16;249;5812FNM
SUCCESS;CLOSED;16;1220;0023GHP
SUCCESS;CLOSED;16;1336;6539CMW
SUCCESS;CLOSED;16;2026;8289DBJ
FAKE;CLOSED;16;2035;TARA8035
FAKE;CLOSED;16;2038;A1150O
SUCCESS;CLOSED;16;2478;0969JBZ
SUCCESS;CLOSED;16;2599;7809DTP
SUCCESS;CLOSED;16;3416;8713BCP
FAKE;OPEN;16;3567;M0141NG
SUCCESS;OPEN;16;3571;3741DCW
SUCCESS;CLOSED;17;697;2508BWY
SUCCESS;CLOSED;17;1562;2173FVM
SUCCESS;CLOSED;17;1751;3085DRF
SUCCESS;CLOSED;17;1982;7830JPC
SUCCESS;CLOSED;18;70;3611CVS
SUCCESS;CLOSED;18;846;9189HMV
FAKE;CLOSED;18;851;OU01026R
SUCCESS;CLOSED;18;956;M2123ZT
SUCCESS;CLOSED;18;1015;4866GTH
SUCCESS;CLOSED;18;1670;2772BPC
SUCCESS;CLOSED;18;1987;2033GFH
SUCCESS;OPEN;18;2017;2815JLT
SUCCESS;OPEN;18;2185;0023GHP
SUCCESS;CLOSED;18;2549;1420HXH
SUCCESS;CLOSED;18;3159;7830JPC
SUCCESS;CLOSED;19;393;5805HMB
SUCCESS;OPEN;19;477;3023GDW
SUCCESS;CLOSED;19;982;9403JDV
SUCCESS;CLOSED;19;2308;7017HHM
SUCCESS;OPEN;19;2329;8489FHM
FAIL;CLOSED;19;3432;-
FAIL;CLOSED;20;360;-
EMPTY;CLOSED;20;486;1111LJJ
EMPTY;CLOSED;20;692;O1111JJ
SUCCESS;OPEN;20;1233;0279HXX
SUCCESS;OPEN;20;1678;0438JTB
SUCCESS;OPEN;20;2202;4037HSV
EMPTY;CLOSED;20;2844;J1111PJ
EMPTY;CLOSED;21;233;1111LLU
SUCCESS;PARKING_CARS;21;934;2210HSL
SUCCESS;CLOSED;21;1316;8600GYF
EMPTY;CLOSED;21;1421;P1111A
SUCCESS;PARKING_CARS;21;1499;4216FVK
SUCCESS;PARKING_CARS;21;1510;M4228SC
SUCCESS;PARKING_CARS;21;2220;6254JMP
SUCCESS;CLOSED;21;2240;3919JLV
FAIL;OPEN;21;2297;-
SUCCESS;CLOSED;21;2629;2120GGM
EMPTY;CLOSED;21;2901;1111JJF
SUCCESS;CLOSED;21;3411;0337HPG
SUCCESS;CLOSED;22;417;7836HVG
FAIL;CLOSED;22;740;-
SUCCESS;CLOSED;22;1759;6773HGP
SUCCESS;CLOSED;22;2411;5988DZL
FAIL;CLOSED;22;2927;-
MISMATCH;CLOSED;22;3003;9934HYL
SUCCESS;PARKING_CARS;22;3109;1021HVD
SUCCESS;OPEN;22;3190;5288JCP
SUCCESS;PARKING_CARS;22;3320;7074JGL
EMPTY;CLOSED;23;477;1111MLF
SUCCESS;OPEN;23;2680;9286GFJ
SUCCESS;OPEN;23;2721;6179JHL
SUCCESS;OPEN;23;3500;5768JGN
