tag, objective_measure, teacher_estim, students_estim
"2015_3_16_10","2.767815371638372","3","4"
"2015_3_16_13","1.8383279691803998","6","5"
"2015_3_16_9","2.4525872159270015","2","4.722222222222222"
"2015_3_17_11","1.0144319301527849","3","3"
"2015_3_17_12","2.8257164463018305","4","2.75"
"2015_3_17_9","3.3038139287056625","5","5.055555555555555"
"2015_4_20_11","2.4070645333966327","4","3.526315789473684"
"2015_4_20_13","4.175301052014168","5","4.916666666666667"
"2015_4_20_9","3.239761541167361","5","4.714285714285714"
"2015_4_22_10","1.6108324730301085","4","3.5454545454545454"
"2015_4_22_13","4.37481928634406","5","6.2727272727272725"
"2015_4_22_8","0.294005066294692","4","4.2727272727272725"
"2015_4_28_12","4.502166579271107","4","4.8125"
"2015_4_29_10","2.036196264570393","4","3"
"2015_4_29_13","6.00000024589911","5","6.2272727272727275"
"2015_4_29_8","8.533355037032348e-8","4","3.1818181818181817"
"2015_4_30_10","3.8375529239246324","2","3"
"2015_4_30_13","0.4064322617165894","2","2.6666666666666665"
"2015_4_30_9","3.2618469447940583","3","3.9444444444444446"
"2015_5_4_11","1.9503122795061614","4","4.473684210526316"
"2015_5_4_13","5.127524176388868","4","5.083333333333333"
"2015_5_4_9","3.528814412005898","3","4.55"
"2015_5_5_12","3.3343281584177067","4","4.818181818181818"
"2015_5_8_11","2.055621064337764","4","4.380952380952381"
"2015_5_8_13","2.0304075117866165","3","3.4444444444444446"
"2015_5_8_9","2.765485398982083","5","4.3125"