tag,diasemana,numsesion,aprendido,volumen,edad,numestudiantes
"2015_3_16_10","4","3","5","4","15.777777777777779","9"
"2015_3_16_13","4","6","4.8","5","14.8","5"
"2015_3_16_9","4","2","4.833333333333333","4.722222222222222","14.833333333333334","18"
"2015_3_17_11","5","4","4.7","3","13.4","10"
"2015_3_17_12","5","6","5.5","2.75","16.625","8"
"2015_3_17_9","5","2","5.055555555555555","5.055555555555555","13.5","18"
"2015_4_20_11","1","4","4.526315789473684","3.526315789473684","13.736842105263158","19"
"2015_4_20_13","1","6","4.833333333333333","4.916666666666667","16.916666666666668","12"
"2015_4_20_9","1","2","4.714285714285714","4.714285714285714","14","21"
"2015_4_22_10","3","3","4.818181818181818","3.5454545454545454","13.363636363636363","22"
"2015_4_22_13","3","6","3.1818181818181817","6.2727272727272725","14.727272727272727","22"
"2015_4_22_8","3","1","5.181818181818182","4.2727272727272725","14.545454545454545","11"
"2015_4_28_12","3","5","4.8125","4.8125","15.75","16"
"2015_4_29_10","3","3","5","3","13.304347826086957","23"
"2015_4_29_13","3","6","2.6363636363636362","6.2272727272727275","14.772727272727273","22"
"2015_4_29_8","3","1","5.2727272727272725","3.1818181818181817","14.636363636363637","11"
"2015_4_30_10","4","3","5.333333333333333","3","16","12"
"2015_4_30_13","4","6","5.333333333333333","2.6666666666666665","15.166666666666666","6"
"2015_4_30_9","4","2","5.611111111111111","3.9444444444444446","14.777777777777779","18"
"2015_5_4_11","1","4","4.526315789473684","4.473684210526316","13.736842105263158","19"
"2015_5_4_13","1","6","5.166666666666667","5.083333333333333","16.916666666666668","12"
"2015_5_4_9","1","2","4.95","4.55","13.9","20"
"2015_5_5_12","2","5","4.818181818181818","4.818181818181818","15.454545454545455","11"
"2015_5_8_11","5","4","4.761904761904762","4.380952380952381","13.428571428571429","21"
"2015_5_8_13","5","6","5.111111111111111","3.4444444444444446","16.77777777777778","9"
"2015_5_8_9","5","2","5.5","4.3125","13.5625","16"