aprendido, volumen, edad, sexo, utilidad, tag, grupo
4,4,14,M,4,2015_5_4_11,2A
4,4,13,M,1,2015_5_4_11,2A
5,4,13,M,5,2015_5_4_11,2A
5,6,14,F,6,2015_5_4_11,2A
6,6,13,F,6,2015_5_4_11,2A
4,4,13,F,5,2015_5_4_11,2A
5,4,14,F,6,2015_5_4_11,2A
4,3,15,F,4,2015_5_4_11,2A
4,4,13,F,1,2015_5_4_11,2A
5,7,15,M,7,2015_5_4_11,2A
6,4,13,F,5,2015_5_4_11,2A
5,3,14,M,3,2015_5_4_11,2A
5,5,14,M,5,2015_5_4_11,2A
3,6,13,F,4,2015_5_4_11,2A
4,3,15,M,4,2015_5_4_11,2A
4,4,13,F,4,2015_5_4_11,2A
4,6,14,M,4,2015_5_4_11,2A
4,4,14,M,6,2015_5_4_11,2A
5,4,14,M,7,2015_5_4_11,2A
5,6,15,F,6,2015_5_8_9,2B
4,4,13,M,7,2015_5_8_9,2B
6,6,13,M,6,2015_5_8_9,2B
5,4,13,F,6,2015_5_8_9,2B
6,3,13,F,5,2015_5_8_9,2B
5,6,15,F,7,2015_5_8_9,2B
6,5,14,F,5,2015_5_8_9,2B
7,4,13,F,5,2015_5_8_9,2B
6,4,13,F,7,2015_5_8_9,2B
4,4,13,F,6,2015_5_8_9,2B
4,4,14,F,4,2015_5_8_9,2B
7,4,13,M,7,2015_5_8_9,2B
6,4,14,M,7,2015_5_8_9,2B
6,3,13,F,7,2015_5_8_9,2B
6,4,14,F,5,2015_5_8_9,2B
5,4,14,F,7,2015_5_8_9,2B
6,4,14,F,7,2015_5_8_11,2CDBil
5,4,14,F,6,2015_5_8_11,2CDBil
4,4,13,F,5,2015_5_8_11,2CDBil
4,4,14,F,5,2015_5_8_11,2CDBil
6,5,14,M,7,2015_5_8_11,2CDBil
6,4,14,M,7,2015_5_8_11,2CDBil
3,5,13,M,4,2015_5_8_11,2CDBil
7,3,13,M,7,2015_5_8_11,2CDBil
5,4,13,M,4,2015_5_8_11,2CDBil
4,5,13,F,4,2015_5_8_11,2CDBil
5,4,13,F,4,2015_5_8_11,2CDBil
6,3,14,F,6,2015_5_8_11,2CDBil
6,4,14,F,6,2015_5_8_11,2CDBil
4,5,13,F,4,2015_5_8_11,2CDBil
5,5,14,F,7,2015_5_8_11,2CDBil
4,5,13,F,1,2015_5_8_11,2CDBil
4,5,13,F,3,2015_5_8_11,2CDBil
4,5,13,F,3,2015_5_8_11,2CDBil
4,5,13,F,3,2015_5_8_11,2CDBil
4,4,14,F,6,2015_5_8_11,2CDBil
4,5,13,F,5,2015_5_8_11,2CDBil
5,5,14,M,2,2015_5_4_9,2EF
6,5,15,M,6,2015_5_4_9,2EF
4,4,15,F,4,2015_5_4_9,2EF
4,6,13,M,3,2015_5_4_9,2EF
7,3,13,M,7,2015_5_4_9,2EF
6,5,14,M,5,2015_5_4_9,2EF
6,5,14,M,4,2015_5_4_9,2EF
4,6,15,M,3,2015_5_4_9,2EF
6,2,14,M,7,2015_5_4_9,2EF
4,7,13,M,1,2015_5_4_9,2EF
5,3,13,F,3,2015_5_4_9,2EF
4,6,13,F,7,2015_5_4_9,2EF
7,4,13,F,5,2015_5_4_9,2EF
6,6,13,F,6,2015_5_4_9,2EF
6,3,15,F,6,2015_5_4_9,2EF
5,4,14,F,3,2015_5_4_9,2EF
2,5,14,M,4,2015_5_4_9,2EF
4,3,14,F,5,2015_5_4_9,2EF
3,5,16,M,6,2015_5_4_9,2EF
5,4,13,M,4,2015_5_4_9,2EF
5,1,13,M,4,2015_4_22_10,2EFBil
5,3,14,M,6,2015_4_22_10,2EFBil
5,3,13,M,5,2015_4_22_10,2EFBil
5,3,13,M,1,2015_4_22_10,2EFBil
7,4,13,F,7,2015_4_22_10,2EFBil
5,4,14,M,4,2015_4_22_10,2EFBil
6,2,13,M,6,2015_4_22_10,2EFBil
5,2,13,M,4,2015_4_22_10,2EFBil
6,5,14,M,1,2015_4_22_10,2EFBil
3,5,13,F,2,2015_4_22_10,2EFBil
4,4,13,F,5,2015_4_22_10,2EFBil
4,2,14,F,4,2015_4_22_10,2EFBil
5,3,14,F,7,2015_4_22_10,2EFBil
6,4,14,M,7,2015_4_22_10,2EFBil
4,5,13,F,6,2015_4_22_10,2EFBil
4,3,13,F,4,2015_4_22_10,2EFBil
4,4,13,F,2,2015_4_22_10,2EFBil
3,4,13,F,1,2015_4_22_10,2EFBil
4,4,14,F,6,2015_4_22_10,2EFBil
6,7,13,F,1,2015_4_22_10,2EFBil
3,3,14,F,2,2015_4_22_10,2EFBil
7,3,13,F,7,2015_4_22_10,2EFBil
6,1,16,F,5,2015_4_30_13,3A
6,2,15,F,5,2015_4_30_13,3A
5,2,16,F,5,2015_4_30_13,3A
6,4,14,F,7,2015_4_30_13,3A
5,2,15,M,4,2015_4_30_13,3A
4,5,15,F,6,2015_4_30_13,3A
4,3,14,M,6,2015_4_30_9,3B
6,4,16,M,4,2015_4_30_9,3B
5,3,14,M,5,2015_4_30_9,3B
6,4,14,F,4,2015_4_30_9,3B
7,1,14,F,5,2015_4_30_9,3B
5,4,14,F,4,2015_4_30_9,3B
5,4,15,F,4,2015_4_30_9,3B
4,4,15,F,4,2015_4_30_9,3B
7,4,15,F,7,2015_4_30_9,3B
7,4,14,F,2,2015_4_30_9,3B
6,4,15,F,4,2015_4_30_9,3B
4,5,15,M,4,2015_4_30_9,3B
4,5,16,M,2,2015_4_30_9,3B
5,4,15,M,4,2015_4_30_9,3B
6,6,16,M,4,2015_4_30_9,3B
6,4,15,M,3,2015_4_30_9,3B
7,3,15,M,6,2015_4_30_9,3B
7,5,14,M,4,2015_4_30_9,3B
4,5,15,F,4,2015_4_22_13,3C
5,7,14,M,5,2015_4_22_13,3C
2,7,14,M,1,2015_4_22_13,3C
1,7,15,M,3,2015_4_22_13,3C
5,6,15,F,5,2015_4_22_13,3C
2,5,16,F,3,2015_4_22_13,3C
4,6,15,F,4,2015_4_22_13,3C
4,7,14,M,7,2015_4_22_13,3C
6,7,15,M,1,2015_4_22_13,3C
5,5,15,M,5,2015_4_22_13,3C
4,6,16,M,1,2015_4_22_13,3C
1,7,14,M,1,2015_4_22_13,3C
2,6,15,M,2,2015_4_22_13,3C
6,6,15,F,6,2015_4_22_13,3C
1,6,15,F,2,2015_4_22_13,3C
1,6,15,M,4,2015_4_22_13,3C
1,6,15,F,2,2015_4_22_13,3C
4,7,15,M,1,2015_4_22_13,3C
4,7,14,F,1,2015_4_22_13,3C
3,7,14,F,7,2015_4_22_13,3C
3,6,14,M,2,2015_4_22_13,3C
2,6,14,M,4,2015_4_22_13,3C
5,4,14,F,6,2015_4_29_8,3D
7,4,14,F,6,2015_4_29_8,3D
3,2,15,M,5,2015_4_29_8,3D
5,1,14,F,5,2015_4_29_8,3D
5,3,16,F,5,2015_4_29_8,3D
5,3,15,F,4,2015_4_29_8,3D
6,2,15,M,6,2015_4_29_8,3D
5,4,15,F,6,2015_4_29_8,3D
5,7,14,M,4,2015_4_29_8,3D
6,3,15,M,5,2015_4_29_8,3D
6,2,14,M,6,2015_4_29_8,3D
6,6,17,M,7,2015_4_30_10,3DIV
6,4,17,F,6,2015_4_30_10,3DIV
5,3,17,M,7,2015_4_30_10,3DIV
5,3,16,F,5,2015_4_30_10,3DIV
6,3,16,M,6,2015_4_30_10,3DIV
6,2,15,M,7,2015_4_30_10,3DIV
4,2,16,M,7,2015_4_30_10,3DIV
4,3,16,F,4,2015_4_30_10,3DIV
4,2,17,F,6,2015_4_30_10,3DIV
6,3,15,M,7,2015_4_30_10,3DIV
6,3,15,F,7,2015_4_30_10,3DIV
6,2,15,F,7,2015_4_30_10,3DIV
6,6,16,F,4,2015_5_5_12,4
4,5,15,M,4,2015_5_5_12,4
7,2,15,M,6,2015_5_5_12,4
4,6,15,M,4,2015_5_5_12,4
4,5,15,M,4,2015_5_5_12,4
4,4,15,M,4,2015_5_5_12,4
5,6,18,M,6,2015_5_5_12,4
5,3,15,M,6,2015_5_5_12,4
4,6,15,M,5,2015_5_5_12,4
5,6,15,M,7,2015_5_5_12,4
5,4,16,F,4,2015_5_5_12,4
5,6,17,M,6,2015_5_4_13,4DIV
7,7,17,M,6,2015_5_4_13,4DIV
5,6,17,F,6,2015_5_4_13,4DIV
7,4,17,F,4,2015_5_4_13,4DIV
7,4,16,F,4,2015_5_4_13,4DIV
5,5,16,F,5,2015_5_4_13,4DIV
5,5,18,F,5,2015_5_4_13,4DIV
7,5,16,M,4,2015_5_4_13,4DIV
2,6,17,M,4,2015_5_4_13,4DIV
4,4,18,M,4,2015_5_4_13,4DIV
4,4,17,M,4,2015_5_4_13,4DIV
4,5,17,M,5,2015_5_4_13,4DIV
6,4,17,M,7,2015_3_17_12,BT1
7,4,18,M,6,2015_3_17_12,BT1
4,2,16,F,7,2015_3_17_12,BT1
6,3,16,F,6,2015_3_17_12,BT1
6,3,16,F,6,2015_3_17_12,BT1
6,2,16,M,7,2015_3_17_12,BT1
4,2,16,M,5,2015_3_17_12,BT1
5,2,18,M,2,2015_3_17_12,BT1