user;u;g;o;evalua_a
LLD;4;3;5;G1
VMG;4;2;4;G1
JAQ;4;4;2;G1
GTH;3;3;4;G1
KSM;3;3;2;G1
JSD;4;3;4;G1
IDM;5;5;5;G1
ALR;5;3;4;G1
JAAR;3;3;3;G1
SRB;4;4;5;G1
RDP;5;5;4;G1
FT;5;4;5;G1
AGE;4;4;3;G1
JJFR;5;4;5;G1
MAS;4;3;4;G1
IAA;4;3;5;G1
ID;5;5;5;G1
GGB;3;3;3;G1
DRL;2;3;3;G1
SLT;4;4;4;G1
JJMF;3;3;3;G1
FLR;4;2;4;G1
JMSB;4;3;3;G1
EBM;4;2;5;G1
EBAC;3;3;4;G1
AGC;5;3;4;G1
EGI;4;3;4;G1
JMVC;5;4;5;G1
MJA;4;4;4;G1
IGR;4;3;4;G1
DMC;3;3;3;G1
LLD;4;4;5;G2
VMG;4;3;3;G2
JAQ;1;2;3;G2
GTH;4;3;4;G2
KSM;2;2;2;G2
JSD;4;3;4;G2
IDM;4;2;2;G2
ALR;4;3;4;G2
JAAR;2;2;4;G2
SRB;3;3;4;G2
RDP;5;4;3;G2
FT;3;3;3;G2
AGE;2;4;4;G2
JJFR;3;3;4;G2
MAS;3;2;3;G2
IAA;4;3;4;G2
ID;3;4;4;G2
GGB;4;3;5;G2
DRL;3;2;3;G2
SLT;3;2;4;G2
JJMF;2;2;2;G2
FLR;5;3;5;G2
JMSB;3;2;3;G2
EBM;3;3;4;G2
EBAC;4;4;3;G2
AGC;5;5;5;G2
EGI;3;4;4;G2
JMVC;5;4;3;G2
MJA;4;4;2;G2
IGR;3;3;4;G2
DMC;3;2;3;G2
LLD;4;4;5;G3
VMG;2;3;2;G3
JAQ;5;3;3;G3
GTH;3;4;2;G3
KSM;2;2;3;G3
JSD;4;4;3;G3
IDM;5;5;1;G3
ALR;4;3;3;G3
JAAR;3;2;4;G3
SRB;4;3;4;G3
RDP;5;3;4;G3
FT;4;5;3;G3
AGE;5;5;5;G3
JJFR;4;4;3;G3
MAS;4;3;3;G3
IAA;3;4;4;G3
ID;4;4;3;G3
GGB;4;4;4;G3
DRL;3;2;4;G3
SLT;5;5;5;G3
JJMF;3;3;2;G3
FLR;2;3;2;G3
JMSB;4;3;3;G3
EBM;4;4;4;G3
EBAC;5;5;5;G3
AGC;2;2;1;G3
EGI;5;5;4;G3
JMVC;4;4;3;G3
MJA;5;5;5;G3
IGR;4;3;4;G3
DMC;3;4;2;G3
LLD;5;5;5;G4
VMG;5;5;5;G4
JAQ;4;3;5;G4
GTH;3;4;5;G4
KSM;3;4;4;G4
JSD;5;5;5;G4
IDM;4;4;5;G4
ALR;5;5;5;G4
JAAR;5;5;5;G4
SRB;4;4;5;G4
RDP;5;5;5;G4
FT;4;4;5;G4
AGE;5;4;5;G4
JJFR;4;4;5;G4
MAS;4;4;5;G4
IAA;4;4;5;G4
ID;3;4;5;G4
GGB;5;5;5;G4
DRL;4;4;5;G4
SLT;5;5;5;G4
JJMF;3;3;5;G4
FLR;4;4;5;G4
JMSB;5;5;5;G4
EBM;5;3;5;G4
EBAC;4;4;5;G4
AGC;5;3;5;G4
EGI;5;5;5;G4
JMVC;5;5;5;G4
MJA;5;4;5;G4
IGR;2;2;4;G4
DMC;3;3;5;G4
LLD;5;5;5;G5
VMG;4;2;4;G5
JAQ;5;5;3;G5
GTH;4;4;4;G5
KSM;4;3;4;G5
JSD;4;2;4;G5
IDM;4;4;5;G5
ALR;5;5;5;G5
JAAR;4;3;5;G5
SRB;4;3;5;G5
RDP;4;4;5;G5
FT;4;4;5;G5
AGE;2;1;4;G5
JJFR;4;3;5;G5
MAS;4;3;5;G5
IAA;4;3;4;G5
ID;3;3;5;G5
GGB;5;5;5;G5
DRL;4;3;5;G5
SLT;5;5;4;G5
JJMF;5;5;5;G5
FLR;4;3;4;G5
JMSB;4;5;5;G5
EBM;4;4;4;G5
EBAC;3;3;3;G5
AGC;4;4;5;G5
EGI;5;5;5;G5
JMVC;5;3;5;G5
MJA;4;3;5;G5
IGR;4;4;4;G5
DMC;5;5;5;G5
LLD;5;4;5;G6
VMG;3;3;3;G6
JAQ;5;1;5;G6
GTH;4;4;3;G6
KSM;4;4;3;G6
JSD;3;3;3;G6
IDM;3;3;2;G6
ALR;4;4;4;G6
JAAR;5;5;5;G6
SRB;3;4;3;G6
RDP;5;5;4;G6
FT;3;3;3;G6
AGE;2;2;3;G6
JJFR;2;3;3;G6
MAS;5;5;5;G6
IAA;4;4;4;G6
ID;4;4;3;G6
GGB;5;5;4;G6
DRL;5;5;5;G6
SLT;3;4;4;G6
JJMF;4;4;4;G6
FLR;4;3;3;G6
JMSB;5;5;5;G6
EBM;5;4;4;G6
EBAC;3;3;3;G6
AGC;5;5;4;G6
EGI;5;5;5;G6
JMVC;4;5;4;G6
MJA;4;3;3;G6
IGR;3;3;3;G6
DMC;4;5;5;G6
LLD;5;5;5;G7
VMG;4;4;3;G7
JAQ;1;5;3;G7
GTH;3;3;3;G7
KSM;3;4;2;G7
JSD;4;4;4;G7
IDM;3;4;2;G7
ALR;4;4;3;G7
JAAR;4;5;4;G7
SRB;3;4;3;G7
RDP;3;4;4;G7
FT;4;4;3;G7
AGE;4;3;2;G7
JJFR;3;4;3;G7
MAS;5;5;4;G7
IAA;4;4;4;G7
ID;3;5;3;G7
GGB;5;5;5;G7
DRL;3;5;3;G7
SLT;4;4;4;G7
JJMF;3;2;3;G7
FLR;4;5;4;G7
JMSB;4;5;3;G7
EBM;4;4;3;G7
EBAC;5;5;4;G7
AGC;5;5;5;G7
EGI;4;5;4;G7
JMVC;5;4;2;G7
MJA;2;4;4;G7
IGR;3;3;4;G7
DMC;3;3;2;G7
